Product,Image Url,Current Price,Original Price,discount
"HP Pavilion x360 (Core i3 - 8th Gen/4GB/ 1 TB / 35.56 cm (14 Inch) FHD/Windows 10/ 2 GB MX130 Gfx)14-ba151tx Thin & Light Convertible Laptop (Mineral Silver, 1.68 Kg)",https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPHP-PAVILION-JOSH6996672F7E1798/a_0.png?imwidth=282&impolicy=hq,"53,149","58,63",-9%
Lenovo YOGA 520-14IKB (80X800YGIN) (Intel Core i3 (7th Gen)/8 GB/1 TB/14 FHD/Windows 10/2GB GDDR5 Nvidia Geforce GT 940MX) (Onyx Black),https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-YOGA-BEST21704ADDA0074/a_9.jpg?imwidth=282&impolicy=hq,"54,490","68,290",-20%
Dell Inspiron 15 5578 2-in-1 (Core i5 (7th Gen)/8 GB /1 TB/39.62 cm (15.6 )/Windows 10 Home/) (Silver),https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPDELL-INSPIROZRPL22027A5543CEA/a_1.jpg?imwidth=282&impolicy=hq,"56,990","72,340",-21%
"HP Pavilion x360 Convertible(Core i3-8th Gen/4 GB/1 TB + 8 GB SSHD/15.6"" FHD/ Windows 10 with MS Office/ 2GB Graphics) 14-cd0050TX (Natural Silver, 2.2 Kg)",https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPHP-PAVILION-VIKR663456F5BC5A3C/a_0.jpg?imwidth=282&impolicy=hq,"58,290","62,06",-6%
Acer Spin 5 (Core i5 - 8th Gen / 8 GB / 256 GB SSD / 13.3 FHD / Windows 10) Spin 5 SP513-52N (NX.GR7SI.004) Convertible Laptop (Steel Gray  1.5kg),https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPACER-SPIN-5-ZRPL2202757B3D91B/a_2.png?imwidth=282&impolicy=hq,"64,690","81,449",-21%
Dell Inspiron 13 5379 2-in-1 (A564503WIN9) (Core i5 (8th Gen)/8 GB /1 TB/33.78 cm (13.3)/Windows 10 Home with Office Home and Student 2016) (Grey),https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPDELL-INSPIROLOWE541476A6638585/a_1.png?imwidth=282&impolicy=hq,"67,790","71,99",-6%
Dell New Inspiron 13 5379 2-in-1 (Core i5 (8th Gen)/8 GB/1 TB/33.7 cm (13.3'')/Windows 10) Silver,https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPDELL-NEW-INSCLIC44590D1D442A7/a_0.jpg?imwidth=282&impolicy=hq,"68,110","75,990",-10%
Lenovo Yoga 710 (80V40095IH) (Core i5 (7th Gen)/4 GB/256 GB/14/Windows 10/Integrated)_LC,https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-YOGA-LENO6911382FD85A22/a_0.png?imwidth=282&impolicy=hq,"69,200","70,99",-3%
"HP Pavilion x360 (Core i5 -8th Gen/8 GB/1TB/8 GB SSD/35.56 cm (14 Inch) FHD touchscreen/Windows 10 with MSO H&S)) 14-CD0080TU Thin & Light Convertible Laptop (Natural Silver, 1.68 kg)",https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPHP-PAVILION-MOBI35235D2C2A99F/a_1.jpg?imwidth=282&impolicy=hq,"69,295","73,16",-5%
HP Pavilion x360 Convertible 14-cd0081TU 14 inch FHD Slim Laptop with Pen (8th Gen Intel Core i5-8250U/256 GB SSD/8GB RAM/Windows 10 Home (Pale Gold),https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPHP-PAVILION-MOBI352358A4BF498/a_0.jpg?imwidth=282&impolicy=hq,"70,620","80,937",-13%
"Microsoft Surface Pro (Core i5-7th Gen/8GB/128GB SSD/12.3"" QHD/Windows 10 Pro) Surface Pro M1796 Convertible Laptop (W/O Keyboard) (Silver, 0.77 kg)",https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPMICROSOFT-SUSUPE46222D4AA20F6/a_0.png?imwidth=282&impolicy=hq,"72,990","91,990",-21%
Dell Inspiron 13 7373 2-in-1 Laptop (A569502WIN9) Core i5 (8th Gen)/8 GB/256 GB/33.78 cm (13.3 Inch)/Windows 10 (Grey),https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPDELL-INSPIROSSD430703C281FAD/a_0.jpg?imwidth=282&impolicy=hq,"74,249","85,990",-14%
